Postal Code,Borough,Neighborhood
83000,Mueang Phuket,Mueang Phuket
83000,Mueang Phuket,Tambon Chalong
83000,Mueang Phuket,Tambon Ko Kaeo
83000,Mueang Phuket,Tambon Ratsada
83000,Mueang Phuket,Tambon Talat Nuea
83000,Mueang Phuket,Tambon Talat Yai
83000,Mueang Phuket,Tambon Wichit
83100,Rawai,Karon
83100,Rawai,Rawai
83100,Rawai,Tambon Karon
83100,Rawai,Tambon Rawai
83110,Thalang,Choeng Thale
83110,Thalang,Tambon Choeng Thale
83110,Thalang,Tambon Mai Khao
83110,Thalang,Tambon Pa Klok
83110,Thalang,Tambon Sa Khu
83110,Thalang,Tambon Si Sunthon
83110,Thalang,Tambon Thep Krasatti
83110,Thalang,Thalang
83120,Kathu,Kathu
83120,Kathu,Tambon Kamala
83120,Kathu,Tambon Kathu
83120,Kathu,Tambon Patong
83130,Chalong,Tambon Chalong
83140,Tambon Sa Khu,Tambon Sa Khu
83150,Patong,Kathu
83150,Patong,Patong
83150,Patong,Tambon Patong
